"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "540656791303245824" "RT @hortonworks: Deploying Hadoop On a Hybrid Cloud with @Microsoft http://t.co/hZJt2Eg7R9 #hadoop" "BenGreenbergNYC" TRUE FALSE 1417737598
"2" "540656676102103040" "RT @astro_nah: rip Kinect @Microsoft https://t.co/XqnZZY9vy7" "Anfurnyy" TRUE FALSE 1417737571
"3" "540656640023097344" "@Forbes Apart from having the world's dumbest name, its' a joke when compared to Google.@bing @Microsoft" "mnclaes" FALSE FALSE 1417737562
"4" "540656584863797248" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "charlesdumais" TRUE FALSE 1417737549
"5" "540656544132526080" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "HelloImClint" TRUE FALSE 1417737539
"6" "540656285738627072" "@Microsoft you literally have the WORST customer service, it is like talking to a pile of shit except worse in every way possible." "TheParakeetman" FALSE FALSE 1417737478
"7" "540656239269515264" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "noyournot" TRUE FALSE 1417737467
"8" "540656221519245312" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "KozmiKKicK" TRUE FALSE 1417737462
"9" "540656047695097856" "RT @erikmagnuson: .@Microsoft is acting on #Snowden's advice to create \"zero knowledge #cloud to earn customer trust\" this is HUGE http://t…" "PaulNemitz" TRUE FALSE 1417737421
"10" "540656008930922496" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "CKWProds" TRUE FALSE 1417737412
"11" "540655956825485312" "rip Kinect @Microsoft https://t.co/XqnZZY9vy7" "astro_nah" FALSE FALSE 1417737399
"12" "540655576704102401" "@scottrdavis @Microsoft Finally, a week ago, I found http://t.co/ETVv0P2tqq for my  exam. 70-410 Guaranteed Success guys and 100% web" "dotnetsqlw2k" FALSE FALSE 1417737309
"13" "540655523486785537" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "rebel_pixie" TRUE FALSE 1417737296
"14" "540654998174961664" "@Microsoft After learning code does this mean you will be hiring Americans instead of H1B's? Hello? Anyone there?" "cmikea" FALSE FALSE 1417737171
"15" "540654770894426112" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "JaCindaSumara" TRUE FALSE 1417737116
"16" "540654663905730562" "@MicrosoftHelps @Microsoft 2011 Outlook for Mac doesn't have a to-do bar?? are you guys nuts?? PLEASE tell me there's a way I can add it" "sebcde" FALSE FALSE 1417737091
"17" "540654626278608897" "RT @BeatTheQ: We're celebrating our new release with @Microsoft next week! They're shouting Sydney #2for1 from Monday #Lumia830 http://t.co…" "POSmateAU" TRUE FALSE 1417737082
"18" "540654230768320512" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "DowntownRob" TRUE FALSE 1417736988
"19" "540654173994618880" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "jpaynebu" TRUE FALSE 1417736974
"20" "540654005735526401" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "nlelliott07" TRUE FALSE 1417736934
"21" "540653687287185409" "How To Level Up FAST in Advanced Warfare: http://t.co/W1cEI4FWoK via @YouTube @Sony @Microsoft @SHGames" "Zehnex" FALSE FALSE 1417736858
"22" "540653545750401024" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "bnr0723" TRUE FALSE 1417736824
"23" "540653534711406592" "December 10 @ NAMS! \"@Microsoft: We’re challenging you to learn coding with #hourofcode http://t.co/M662Bi1ETF http://t.co/jyyQJuzeKv\"" "KenNolesED" FALSE FALSE 1417736822
"24" "540653184738656256" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "G1naClifford" TRUE FALSE 1417736738
"25" "540652851232387072" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "KristenSchwab" TRUE FALSE 1417736659
"26" "540652734131617792" "ROAR! Software fails from @Microsoft" "mountainrescuer" FALSE FALSE 1417736631
"27" "540652523019698176" ".@Microsoft, women and the 'baseline for success' of technology http://t.co/CCsIOQuyxZ via @chicagotribune #womenintech" "MicrosoftSV" FALSE FALSE 1417736580
"28" "540652384318676992" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "CelineAzoulay" TRUE FALSE 1417736547
"29" "540652139497136128" "@Microsoft You first. #ZING" "lakesideliberal" FALSE FALSE 1417736489
"30" "540651998668795904" "Come on @Microsoft pick up the doo doo free with gold titles." "DrStinkbomber" FALSE FALSE 1417736455
"31" "540651660671205376" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "BruceWayne22" TRUE FALSE 1417736375
"32" "540651578332839936" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "blakeskid" TRUE FALSE 1417736355
"33" "540651451107012608" "Hey guys I'm now offering services of photoshop, video editing, coding, and intro music and videos. @Microsoft what coding service u like?" "FrozenMiracleYT" FALSE FALSE 1417736325
"34" "540650976684687360" "RT @AleRissoVazquez: Whats a good deed @TerapiaTandil Let's help so they can have \" House Mothers Tandil Therapy \" RT @Microsoft" "mabaires" TRUE FALSE 1417736212
"35" "540650937866801152" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "JustKim4Real" TRUE FALSE 1417736203
"36" "540650694915538944" "@Microsoft why does my computer update literally every week? All it does is slow down my startup and not improve performance" "k_shep3" FALSE FALSE 1417736145
"37" "540650657464991744" "This is a great step by: @microsoft Augmenting stature. #MEC #msrmec" "pailvarun" FALSE FALSE 1417736136
"38" "540650611893862401" "#windows2012server install tomorrow #2012essentials #windowsserver @Windows @windowsserver @Microsoft" "kb3yua" FALSE FALSE 1417736125
