"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "540293795644858368" "RT @sprint: Get ready, starting Friday, bring us your @Verizon or @ATT bill. We’ll #CutYourBill in half! http://t.co/upumLRb3A7 https://t.c…" "SprintEasyPay" TRUE FALSE 1417651053
"2" "540293743958847489" "@SevnthWonder @comcast @Verizon nah man, they've been lobbying for \"fast lanes\" aka raise ur rates since july" "LUCALUSH" FALSE FALSE 1417651041
"3" "540291838515486720" "I Sprinted over to @Verizon. #ByeFelicia!" "TaylorBernal" FALSE FALSE 1417650587
"4" "540290823011971072" "RT @sprint: Get ready, starting Friday, bring us your @Verizon or @ATT bill. We’ll #CutYourBill in half! http://t.co/upumLRb3A7 https://t.c…" "iwasthere102908" TRUE FALSE 1417650344
"5" "540290639586672640" "@Verizon can I use reward points towards movie rentals?" "ThatVillainLobo" FALSE FALSE 1417650301
"6" "540290571177193472" ".@mamachallenge @Verizon Yay! I get to see you tomorrow! Always good times when you're around. :) #MOREVerizon #VZHoliday" "7onashoestring" FALSE FALSE 1417650284
"7" "540290462876442626" "Having hard time switching to @VerizonWireless using @comcast @Verizon combined deal. CS messed up the order and now nobody can fix it!" "krishjonline" FALSE FALSE 1417650259
"8" "540290062030614528" "RT @dodomesticdad: What is on your shopping list this #Holiday Season? How about a new smartphone from @Verizon ?? http://t.co/muaue8bsFF #…" "7onashoestring" TRUE FALSE 1417650163
"9" "540289905570484224" "RT @FamilyeGuide: Learning about the latest &amp; greatest from @Verizon (stay tuned for details)! http://t.co/jwxiK40XVF 
#MOREVerizon #VZHoli…" "7onashoestring" TRUE FALSE 1417650126
"10" "540289044413165568" "RT @GaDPH: The 2014 Health IT Student Innovation Contest was held by @gaDPH, @TAG_Education, @GaDOEnews, @Verizon for students.  http://t.c…" "GaDOEnews" TRUE FALSE 1417649920
