"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "540294317332766720" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "luigililitaly" TRUE FALSE 1417651178
"2" "540294260072132608" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "sarahjoiner" TRUE FALSE 1417651164
"3" "540294188797923328" "Just found out @Microsoft is giving away $10 @Xbox gift cards for each Xbox One game you pre-order! #gaming http://t.co/QK6tUcwMql" "JoaArds" FALSE FALSE 1417651147
"4" "540294179067547649" "RT @CarlosGonzale39: Just found out @Microsoft is giving away $10 @Xbox gift cards for each Xbox One game you pre-order! #gaming http://t.c…" "AllGameBot" TRUE FALSE 1417651145
"5" "540294054253060096" "Just found out @Microsoft is giving away $10 @Xbox gift cards for each Xbox One game you pre-order! #gaming http://t.co/f9RzjSPffk" "CarlosGonzale39" FALSE FALSE 1417651115
"6" "540293993897000960" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "CBastisova" TRUE FALSE 1417651100
"7" "540293992794292224" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "MrBartmas" TRUE FALSE 1417651100
"8" "540293986804830208" "RT @Windows: Get into the holiday spirit! Track Santa's trip on a 3D globe w/ @NoradSanta &amp; @Microsoft. http://t.co/gAV3pptwfW http://t.co/…" "devendra2879" TRUE FALSE 1417651099
"9" "540293878986051586" "RT @BenThePCGuy: This is @satyanadella 's favorite new @Microsoft app:  http://t.co/SJ5SeSxBGq" "WinPhanKyle" TRUE FALSE 1417651073
"10" "540293818554150912" "Of course Outlook 2013 doesn't work with the native Windows 8.1 Onenote. You have to launch the desktop version. Seriously @Microsoft?" "sebconn" FALSE FALSE 1417651059
"11" "540293741882654721" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "shevelleht" TRUE FALSE 1417651040
"12" "540293711150977025" "Even if I weren't an Apple person, I doubt @Microsoft Surface Pro 3 commercial would convince me w/ that annoying Let It Snow-tuned song." "siontell" FALSE FALSE 1417651033
"13" "540293501024747520" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "lodtrain" TRUE FALSE 1417650983
"14" "540293363509907456" "RT @Windows: Get into the holiday spirit! Track Santa's trip on a 3D globe w/ @NoradSanta &amp; @Microsoft. http://t.co/gAV3pptwfW http://t.co/…" "zacxensemble" TRUE FALSE 1417650950
"15" "540293173361537025" "RT @Microsoft: We’re challenging you to learn coding with #hourofcode. Here’s how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3…" "rhtcharlotte" TRUE FALSE 1417650905
